,location_long,Latitude,Longitude,Plaats,gemiddelde_SEL,gemiddelde_distance,gemiddelde_SEL_dB,vliegtuig_categorie
0,Uitersweg,52.264,4.733,Aalsmeer,,,,
1,Aalsmeerder weg,52.272,4.771,Aalsmeer,,,,
2,Hornweg,52.268,4.78,Aalsmeer,1042519908.6050106,1046.3666348614072,85.57829785060737,A330
3,Hornweg,52.268,4.78,Aalsmeer,382647501.81962025,983.4357753164558,82.05783215935345,A350
4,Hornweg,52.268,4.78,Aalsmeer,608519255.110935,993.2106965134707,84.36273411210144,B772
5,Hornweg,52.268,4.78,Aalsmeer,421461472.80172217,943.5097376119403,81.89680875206979,Other
6,A. H. Blaawstraat,52.264,4.775,Aalsmeer,,,,
7,Kudelstraatseweg,52.235,4.741,Aalsmeer,,,,
8,Darwinstraat,52.234,4.759,Aalsmeer,65516200.71182549,2272.763343283582,76.795755833046,A330
9,Darwinstraat,52.234,4.759,Aalsmeer,38868624.30379747,2537.814688607595,74.5376784605034,A350
10,Darwinstraat,52.234,4.759,Aalsmeer,51543255.613369465,2294.225733514002,75.69264751628145,B772
11,Darwinstraat,52.234,4.759,Aalsmeer,42418590.66432325,2230.298466302029,74.87667922280629,Other
12,Copierstraat,52.229,4.739,Aalsmeer,100382533.90625,2008.1497785904255,76.29530778886003,A330
13,Copierstraat,52.229,4.739,Aalsmeer,35775155.42682927,2007.273768292683,73.28982784314367,A350
14,Copierstraat,52.229,4.739,Aalsmeer,90276817.93089432,1695.882554200542,76.0796343880662,B772
15,Copierstraat,52.229,4.739,Aalsmeer,43314264.2784753,1963.1661833619366,72.71365927901178,Other
16,Catharina van Clevepark,52.32,4.862,Amstelveen,1145546122.881459,771.2076686930092,88.01600966313401,A330
17,Catharina van Clevepark,52.32,4.862,Amstelveen,754190217.1641791,602.1921641791045,87.39073647697403,A350
18,Catharina van Clevepark,52.32,4.862,Amstelveen,1010080524.981132,847.821037735849,86.64800217451577,B772
19,Catharina van Clevepark,52.32,4.862,Amstelveen,444199528.2767421,1105.370752493637,81.7020111901538,Other
20,Jeanne d'Arclaan,52.315,4.88,Amstelveen,228051707.0572207,1193.477651226158,81.47687353780402,A330
21,Jeanne d'Arclaan,52.315,4.88,Amstelveen,176625335.75342464,932.8335616438357,81.27079117304935,A350
22,Jeanne d'Arclaan,52.315,4.88,Amstelveen,247063115.24886876,1152.0628054298643,81.22172285560052,B772
23,Jeanne d'Arclaan,52.315,4.88,Amstelveen,98505123.69447474,1451.390287300263,77.30792298700933,Other
24,Burgemeester Haspelslaan,52.306,4.868,Amstelveen,,,,
25,Noorddammerweg,52.293,4.834,Amstelveen,115494424.36792453,3100.2089622641506,73.27588927182954,A330
26,Noorddammerweg,52.293,4.834,Amstelveen,10979102.68292683,3279.594146341463,68.98767683820357,A350
27,Noorddammerweg,52.293,4.834,Amstelveen,50248077.4301676,3097.4037597765364,71.95171911626211,B772
28,Noorddammerweg,52.293,4.834,Amstelveen,58541742.20229036,2578.2137020266705,72.59525848187681,Other
29,Sportlaan,52.29,4.852,Amstelveen,250739366.5,1955.116475,79.8378418439554,A330
30,Sportlaan,52.29,4.852,Amstelveen,13950113.333333334,3333.593333333333,70.42688636927092,A350
31,Sportlaan,52.29,4.852,Amstelveen,175339686.62337664,2020.8147922077922,77.684533618603,B772
32,Sportlaan,52.29,4.852,Amstelveen,58262854.596374266,2042.066997005848,74.88410911331421,Other
33,Schweitzerlaan,52.285,4.822,Amstelveen,42150651.59883721,3030.3397674418607,73.2651476104786,A330
34,Schweitzerlaan,52.285,4.822,Amstelveen,14806340.714285715,3166.63369047619,70.46799376807002,A350
35,Schweitzerlaan,52.285,4.822,Amstelveen,23027552.508951407,3046.487769820972,71.69977878612285,B772
36,Schweitzerlaan,52.285,4.822,Amstelveen,35122153.63423673,2741.0549700406305,71.78232478376702,Other
37,Langs de Werf,52.282,4.836,Amstelveen,72428127.33711047,2732.313849858357,74.58102069161562,A330
38,Langs de Werf,52.282,4.836,Amstelveen,15119434.65116279,3029.1809302325582,70.91069303415844,A350
39,Langs de Werf,52.282,4.836,Amstelveen,34054255.21551724,2856.81175,72.60848667839882,B772
40,Langs de Werf,52.282,4.836,Amstelveen,40801191.321673624,2662.0411253778607,72.41689979178103,Other
41,Pastoor van Zantenlaan,52.261,4.872,Amstelveen,333810145.5721393,1446.9940049751242,83.25011640594896,A330
42,Pastoor van Zantenlaan,52.261,4.872,Amstelveen,161619167.53793103,1309.8252137931033,80.61354254736557,A350
43,Pastoor van Zantenlaan,52.261,4.872,Amstelveen,280369961.9489559,1334.7591832946634,83.00058024820991,B772
44,Pastoor van Zantenlaan,52.261,4.872,Amstelveen,104311944.5192509,1659.9816926912488,77.43817889598927,Other
45,De Wijde Blik,52.259,4.869,Amstelveen,321152899.3736018,1349.9141655480985,83.00849497143196,A330
46,De Wijde Blik,52.259,4.869,Amstelveen,142950271.4189189,1168.1430743243243,80.35614613407955,A350
47,De Wijde Blik,52.259,4.869,Amstelveen,270413524.88839287,1233.809747767857,82.77126656517676,B772
48,De Wijde Blik,52.259,4.869,Amstelveen,96108258.97776611,1547.8627387799481,77.28404590898444,Other
