,vlucht_periode,vliegtuig_categorie,SEL_dB,SEL
0,Avondvlucht,A330,77.22106737854442,256029258.90725806
1,Avondvlucht,A350,72.0920420940692,67921187.05490848
2,Avondvlucht,B772,79.54587080356893,357476305.4276056
3,Avondvlucht,Other,75.50788145984147,153692858.14034125
4,Dagvlucht,A330,78.73084983959963,328926056.28480554
5,Dagvlucht,A350,77.45357518696312,189475023.69064748
6,Dagvlucht,B772,78.24880083608556,294471183.2620044
7,Dagvlucht,Other,76.54177224430333,167580195.78106302
8,Nachtvlucht,A330,74.82101128982939,161802734.69379532
9,Nachtvlucht,A350,71.54167975509137,77860364.51639344
10,Nachtvlucht,B772,72.12632942650463,164063974.75135136
11,Nachtvlucht,Other,71.87261798203961,76708158.3577594
